FaName,Carnivory
Vulpes_lagopus_CANIDAE_CARNIVORA,1
Canis_lupus_CANIDAE_CARNIVORA,1
Leptonychotes_weddellii_PHOCIDAE_CARNIVORA,1
Phoca_largha_PHOCIDAE_CARNIVORA,1
Pusa_hispida_PHOCIDAE_CARNIVORA,1
Callorhinus_ursinus_OTARIIDAE_CARNIVORA,1
Zalophus_californianus_OTARIIDAE_CARNIVORA,1
Meles_meles_MUSTELIDAE_CARNIVORA,1
Mustela_putorius_MUSTELIDAE_CARNIVORA,1
Ursus_arctos_URSIDAE_CARNIVORA,1
Ursus_americanus_URSIDAE_CARNIVORA,1
Ailuropoda_melanoleuca_URSIDAE_CARNIVORA,1
Crocuta_crocuta_HYAENIDAE_CARNIVORA,1
Suricata_suricatta_HERPESTIDAE_CARNIVORA,1
Panthera_tigris_FELIDAE_CARNIVORA,1
Felis_catus_FELIDAE_CARNIVORA,1
Lynx_pardinus_FELIDAE_CARNIVORA,1
Monodon_monoceros_MONODONTIDAE_CETARTIODACTYLA,1
Delphinapterus_leucas_MONODONTIDAE_CETARTIODACTYLA,1
Lagenorhynchus_albirostris_DELPHINIDAE_CETARTIODACTYLA,1
Delphinus_delphis_DELPHINIDAE_CETARTIODACTYLA,1
Mesoplodon_bidens_ZIPHIIDAE_CETARTIODACTYLA,1
Balaenoptera_acutorostrata_BALAENOPTERIDAE_CETARTIODACTYLA,NA
Eschrichtius_robustus_ESCHRICHTIIDAE_CETARTIODACTYLA,NA
Balaenoptera_borealis_BALAENOPTERIDAE_CETARTIODACTYLA,NA
Balaena_mysticetus_BALAENIDAE_CETARTIODACTYLA,NA
Cervus_nippon_CERVIDAE_CETARTIODACTYLA,0
Odocoileus_virginianus_CERVIDAE_CETARTIODACTYLA,0
Bos_grunniens_BOVIDAE_CETARTIODACTYLA,0
Bison_bison_BOVIDAE_CETARTIODACTYLA,0
Bos_taurus_BOVIDAE_CETARTIODACTYLA,0
Bos_indicus_BOVIDAE_CETARTIODACTYLA,0
Bubalus_arnee_BOVIDAE_CETARTIODACTYLA,0
Capra_hircus_BOVIDAE_CETARTIODACTYLA,0
Ovis_aries_BOVIDAE_CETARTIODACTYLA,0
Microcebus_murinus_CHEIROGALEIDAE_PRIMATES,NA
Aotus_nancymaae_AOTIDAE_PRIMATES,NA
Callithrix_jacchus_CALLITRICHIDAE_PRIMATES,NA
Pan_troglodytes_HOMINIDAE_PRIMATES,NA
Rhinopithecus_bieti_CERCOPITHECIDAE_PRIMATES,0
Macaca_fascicularis_CERCOPITHECIDAE_PRIMATES,NA
Macaca_mulatta_CERCOPITHECIDAE_PRIMATES,NA
Papio_anubis_CERCOPITHECIDAE_PRIMATES,NA
Cercocebus_atys_CERCOPITHECIDAE_PRIMATES,NA
Chlorocebus_aethiops_CERCOPITHECIDAE_PRIMATES,NA
Chlorocebus_sabaeus_CERCOPITHECIDAE_PRIMATES,NA
Heterocephalus_glaber_HETEROCEPHALIDAE_RODENTIA,0
Fukomys_damarensis_BATHYERGIDAE_RODENTIA,NA
Bathyergus_suillus_BATHYERGIDAE_RODENTIA,0
Cavia_porcellus_CAVIIDAE_RODENTIA,0
Castor_canadensis_CASTORIDAE_RODENTIA,0
Spalax_ehrenbergi_SPALACIDAE_RODENTIA,0
Eospalax_fontanierii_SPALACIDAE_RODENTIA,NA
Mus_pahari_MURIDAE_RODENTIA,NA
Mus_caroli_MURIDAE_RODENTIA,NA
Mus_spretus_MURIDAE_RODENTIA,NA
Mus_spicilegus_MURIDAE_RODENTIA,NA
Grammomys_dolichurus_MURIDAE_RODENTIA,NA
Rattus_norvegicus_MURIDAE_RODENTIA,NA
Psammomys_obesus_MURIDAE_RODENTIA,0
Acomys_cahirinus_MURIDAE_RODENTIA,NA
Peromyscus_boylii_CRICETIDAE_RODENTIA,NA
Myodes_glareolus_CRICETIDAE_RODENTIA,NA
Microtus_fortis_CRICETIDAE_RODENTIA,NA
Cricetulus_longicaudatus_CRICETIDAE_RODENTIA,NA
